District ,Zn,Fe,Cu,Mn,B,S
Udupi,63.56,95.84,95.04,71.3,23.69,47.79
Bandipora,96.94,53.9,99.01,77.29,80.0,80.0
Surat,81.17,85.54,98.07,99.59,41.85,89.64
NARAYANAPET,76.15,68.56,92.91,82.95,82.77,88.94
Dimapur,85.95,100.0,99.65,91.29,97.12,98.28
Chittorgarh,60.13,37.47,96.4,79.25,,94.78
Baloda Bazar,31.23,78.04,99.61,96.29,49.84,89.06
WANAPARTHY,49.11,52.91,86.53,91.13,63.46,64.37
South West Khasi Hills,61.29,98.16,87.88,61.9,100.0,100.0
Chittoor,80.51,78.19,99.77,91.82,89.04,88.62
Maharajganj,67.11,94.09,95.42,97.67,62.74,78.21
SANGAREDDY,81.6,75.51,99.11,91.85,95.92,95.7
Katihar,94.15,92.85,94.45,94.0,0.3,5.18
Jammu,91.96,97.78,97.45,54.03,76.19,83.6
Baksa,65.1,98.14,99.63,90.41,2.99,88.56
Dindigul,79.92,49.69,95.2,65.22,19.0,54.36
Kandhamal,0.08,0.0,0.08,0.08,0.08,0.9
Jalandhar,89.89,91.37,98.97,64.99,3.8,78.65
Satara,38.63,40.48,92.32,59.13,67.24,55.89
Patna,83.1,87.06,94.84,85.05,4.08,5.63
Ahmednagar,46.99,22.65,97.92,80.07,52.12,58.56
VIKARABAD,53.83,54.61,84.07,77.06,80.46,78.02
Buldhana,46.29,23.54,99.38,98.08,75.63,58.6
West Singhbhum,40.96,21.63,70.73,48.3,86.54,23.98
Nicobars,71.52,98.79,93.03,99.7,100.0,0.3
Mandla,33.31,97.69,90.32,93.47,56.35,91.13
Chandauli,21.67,64.7,93.3,89.52,78.24,23.99
South Garo Hills,0.0,0.0,0.0,0.0,0.0,0.0
Ernakulam,95.07,98.08,98.75,88.73,45.41,59.15
Ambala,72.88,77.74,93.46,30.2,65.71,76.54
24 Paraganas North,90.91,100.0,100.0,90.91,90.91,100.0
Jaisalmer,1.01,4.36,97.69,99.76,,0.04
Champawat,94.31,95.0,95.04,96.27,84.74,74.11
Ariyalur,95.15,75.73,99.55,88.3,86.15,55.34
BALLARI,39.28,62.04,93.94,91.55,62.07,89.42
Warangal,58.49,64.64,96.1,91.59,73.12,94.98
SIDDIPET,43.12,57.85,95.88,88.17,85.84,89.99
Hamirpur,92.8,86.04,90.88,89.18,96.23,87.97
Bundi,72.42,61.01,99.45,96.02,,96.36
Kanchipuram,70.66,67.52,99.52,94.93,11.26,98.96
Marigaon,88.15,99.68,99.1,96.26,0.39,96.56
Bikaner,29.09,6.35,67.84,41.62,,30.83
Rangareddi,77.02,49.29,88.12,73.72,76.72,57.05
Chitradurga,50.43,17.82,63.93,24.31,38.34,75.84
Kra Daadi,44.44,88.89,25.0,100.0,33.33,66.67
Katni,50.6,95.45,95.58,95.82,70.62,92.06
Muktsar,79.25,84.43,99.32,32.54,,93.97
Sabar Kantha,82.52,90.19,90.92,99.61,59.09,88.17
Kasaragod,74.08,86.1,83.88,84.76,10.21,21.08
Kinnaur,93.49,71.97,99.89,64.48,100.0,99.23
North Garo Hills,,,,,,100.0
Balangir,,,,,,85.71
Nagaur,21.85,21.17,97.78,95.14,,66.17
Beed,55.96,22.15,98.55,96.51,73.17,57.28
Harda,95.81,98.4,99.54,99.75,96.11,95.68
Surguja,50.76,82.93,95.11,99.05,72.22,83.18
Sheohar,0.11,0.23,0.0,0.11,0.23,0.11
Yavatmal,38.44,46.54,99.07,94.6,56.17,53.81
Muzaffarpur,83.3,95.18,99.34,92.08,0.15,0.21
Moga,90.89,94.05,99.98,43.64,,87.4
Shajapur,47.1,63.44,76.94,93.9,57.66,70.49
Reasi,64.74,65.82,71.83,62.79,22.82,19.63
Tarn Taran,85.0,92.3,99.75,46.06,100.0,82.79
Korea,76.44,98.07,95.98,98.87,95.73,58.62
Hapur,52.51,65.15,96.17,83.79,68.67,63.04
East Siang,35.68,100.0,80.54,51.63,,99.46
Bhagalpur,0.15,0.0,0.17,0.16,0.16,0.16
Balrampur,88.95,98.74,99.88,97.88,82.22,96.2
Uttar Kannad,53.36,98.49,95.74,91.97,5.15,65.55
Nayagarh,63.49,0.0,100.0,100.0,35.31,51.12
Supaul,53.92,49.26,98.28,61.1,67.89,88.48
